name,title,country,elo,birth_year,approx_age
"CARLSEN, MAGNUS",8,1,2852,1990,33
"NEPOMNIACHTCHI, IAN",8,2,2795,1990,33
"DING, LIREN",8,3,2788,1992,31
"FIROUZJA, ALIREZA",8,4,2785,2003,20
"NAKAMURA, HIKARU",8,6,2768,1987,36
"GIRI, ANISH",8,5,2768,1994,29
"CARUANA, FABIANO",8,6,2766,1992,31
"SO, WESLEY",8,6,2761,1993,30
"ANAND, VISWANATHAN",8,7,2754,1969,54
"RADJABOV, TEIMOUR",8,8,2747,1987,36
"ARONIAN, LEVON",8,6,2745,1982,41
"RAPPORT, RICHARD",8,9,2745,1996,27
"GRISCHUK, ALEXANDER",8,2,2745,1983,40
"DOMINGUEZ PEREZ, LEINIER",8,6,2743,1983,40
"MAMEDYAROV, SHAKHRIYAR",8,8,2738,1985,38
"VACHIER-LAGRAVE, MAXIME",8,4,2736,1990,33
"ABDUSATTOROV, NODIRBEK",8,10,2731,2004,19
GUKESH D,8,7,2730,2006,17
"VIDIT, SANTOSH GUJRATHI",8,7,2730,1994,29
"YU, YANGYI",8,3,2729,1994,29
"LE, QUANG LIEM",8,11,2728,1991,32
"TOPALOV, VESELIN",8,12,2728,1975,48
"MAGHSOODLOO, PARHAM",8,13,2726,2000,23
"DUDA, JAN-KRZYSZTOF",8,14,2724,1998,25
"WANG, HAO",8,3,2722,1989,34
"WEI, YI",8,3,2722,1999,24
"SJUGIROV, SANAN",8,2,2712,1993,30
"VALLEJO PONS, FRANCISCO",8,15,2710,1982,41
"SHANKLAND, SAM",8,6,2710,1991,32
"DUBOV, DANIIL",8,2,2708,1996,27
"HARIKRISHNA, PENTALA",8,7,2707,1986,37
"NIEMANN, HANS MOKE",8,6,2706,2003,20
"ELJANOV, PAVEL",8,16,2704,1983,40
"ROBSON, RAY",8,6,2702,1994,29
ERIGAISI ARJUN,8,7,2701,2003,20
"ARTEMIEV, VLADISLAV",8,2,2701,1998,25
"DEAC, BOGDAN-DANIEL",8,9,2700,2001,22
"KEYMER, VINCENT",8,17,2699,2004,19
"SARGISSIAN, GABRIEL",8,18,2699,1983,40
"TOMASHEVSKY, EVGENY",8,2,2694,1987,36
"BU, XIANGZHI",8,3,2694,1985,38
"AMIN, BASSEM",8,19,2692,1988,35
"XIONG, JEFFERY",8,6,2692,2000,23
PRAGGNANANDHAA R,8,7,2691,2005,18
"ADAMS, MICHAEL",8,20,2687,1971,52
"SEVIAN, SAMUEL",8,6,2687,2000,23
"MARTIROSYAN, HAIK M.",8,18,2686,2000,23
"NAVARA, DAVID",8,21,2685,1985,38
"ANTON GUIJARRO, DAVID",8,15,2685,1995,28
"MOUSSARD, JULES",8,4,2684,1995,28
"VAN FOREEST, JORDEN",8,5,2684,1999,24
"WOJTASZEK, RADOSLAW",8,14,2682,1987,36
"SALEM, A.R. SALEH",8,23,2677,1993,30
"ALMASI, ZOLTAN",8,22,2677,1976,47
"TABATABAEI, M. AMIN",8,13,2675,2001,22
"GELFAND, BORIS",8,24,2674,1968,55
"KOVALENKO, IGOR",8,16,2674,1988,35
"SARIC, IVAN",8,25,2674,1990,33
